OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
57,CU041_02,Trentino-Alto Adige/Südtirol - 02,Q48079662,Merano,149711.0,353736.016229,2971378929.65,country:it/region:tre/cam_uni:cu041-02,country:it/region:tre
58,CU041_03,Trentino-Alto Adige/Südtirol - 03,Q48079666,Bressanone,182613.0,470378.64538,3933821819.07,country:it/region:tre/cam_uni:cu041-03,country:it/region:tre
59,CU041_04,Trentino-Alto Adige/Südtirol - 04,Q48079670,Trento,228118.0,354157.121865,1865617533.37,country:it/region:tre/cam_uni:cu041-04,country:it/region:tre
60,CU041_05,Trentino-Alto Adige/Südtirol - 05,Q48079679,Rovereto,176301.0,329905.919408,2222768295.39,country:it/region:tre/cam_uni:cu041-05,country:it/region:tre
61,CU041_06,Trentino-Alto Adige/Südtirol - 06,Q48079685,Pergine Valsugana,120413.0,348704.449739,2118478256.77,country:it/region:tre/cam_uni:cu041-06,country:it/region:tre
62,CU051_01,Veneto 1 - 01,Q48079693,Venezia,288224.0,178697.333623,430851508.637,country:it/region:ven/cam_uni:cu051-01,country:it/region:ven
63,CU051_02,Veneto 1 - 02,Q48079698,San Donà di Piave,251128.0,314778.655529,1165394375.37,country:it/region:ven/cam_uni:cu051-02,country:it/region:ven
64,CU051_03,Veneto 1 - 03,Q48079707,Chioggia,251827.0,243781.289662,798488861.184,country:it/region:ven/cam_uni:cu051-03,country:it/region:ven
65,CU051_04,Veneto 1 - 04,Q48079716,Castelfranco Veneto,196935.0,188090.436815,409954217.215,country:it/region:ven/cam_uni:cu051-04,country:it/region:ven
66,CU051_05,Veneto 1 - 05,Q48079726,Montebelluna,205227.0,183315.358489,756134848.911,country:it/region:ven/cam_uni:cu051-05,country:it/region:ven
67,CU051_06,Veneto 1 - 06,Q48079734,Conegliano,259076.0,192629.455298,888451353.506,country:it/region:ven/cam_uni:cu051-06,country:it/region:ven
68,CU051_07,Veneto 1 - 07,Q48079744,Belluno,208695.0,444084.188308,3609982077.76,country:it/region:ven/cam_uni:cu051-07,country:it/region:ven
69,CU051_08,Veneto 1 - 08,Q48079750,Treviso,271335.0,140775.764734,503402218.703,country:it/region:ven/cam_uni:cu051-08,country:it/region:ven
70,CU052_01,Veneto 2 - 01,Q48079758,Rovigo,242349.0,340335.659155,1819275848.68,country:it/region:ven/cam_uni:cu052-01,country:it/region:ven
71,CU052_02,Veneto 2 - 02,Q48079763,Padova,289251.0,96988.768137,176644916.848,country:it/region:ven/cam_uni:cu052-02,country:it/region:ven
72,CU052_03,Veneto 2 - 03,Q48079769,Vigonza,314099.0,229755.970642,684918686.131,country:it/region:ven/cam_uni:cu052-03,country:it/region:ven
73,CU052_04,Veneto 2 - 04,Q48079772,Abano Terme,318011.0,262913.331544,1282558606.94,country:it/region:ven/cam_uni:cu052-04,country:it/region:ven
74,CU052_05,Veneto 2 - 05,Q48079783,Vicenza,267470.0,199157.383972,712696379.906,country:it/region:ven/cam_uni:cu052-05,country:it/region:ven
75,CU052_06,Veneto 2 - 06,Q48079791,Bassano del Grappa,297394.0,215616.107596,1093918348.37,country:it/region:ven/cam_uni:cu052-06,country:it/region:ven
76,CU052_07,Veneto 2 - 07,Q48079799,Schio,294341.0,216467.200402,915834631.32,country:it/region:ven/cam_uni:cu052-07,country:it/region:ven
77,CU052_08,Veneto 2 - 08,Q48079807,San Bonifacio,215452.0,288501.211671,1139359855.29,country:it/region:ven/cam_uni:cu052-08,country:it/region:ven
78,CU052_09,Veneto 2 - 09,Q48079814,Verona,252520.0,96261.2994104,198913410.478,country:it/region:ven/cam_uni:cu052-09,country:it/region:ven
79,CU052_10,Veneto 2 - 10,Q48079818,Legnago,212942.0,285770.111562,1104822145.0,country:it/region:ven/cam_uni:cu052-10,country:it/region:ven
80,CU052_11,Veneto 2 - 11,Q48079826,Villafranca di Verona,219628.0,283503.791205,653184444.04,country:it/region:ven/cam_uni:cu052-11,country:it/region:ven
81,CU061_01,Friuli-Venezia Giulia - 01,Q48079832,Trieste,221057.0,120624.62985,123177469.465,country:it/region:fri/cam_uni:cu061-01,country:it/region:fri
82,CU061_02,Friuli-Venezia Giulia - 02,Q48079841,Gorizia,203253.0,427137.913123,1313517523.51,country:it/region:fri/cam_uni:cu061-02,country:it/region:fri
83,CU061_03,Friuli-Venezia Giulia - 03,Q48079851,Udine,279989.0,295894.430564,1152695842.92,country:it/region:fri/cam_uni:cu061-03,country:it/region:fri
84,CU061_04,Friuli-Venezia Giulia - 04,Q48079858,Codroipo,226075.0,456648.481502,3626000289.21,country:it/region:fri/cam_uni:cu061-04,country:it/region:fri
85,CU061_05,Friuli-Venezia Giulia - 05,Q48079862,Pordenone,289917.0,284882.412488,1708825586.28,country:it/region:fri/cam_uni:cu061-05,country:it/region:fri
86,CU071_01,Liguria - 01,Q48079869,Sanremo,275846.0,261739.217559,1457231217.88,country:it/region:lig/cam_uni:cu071-01,country:it/region:lig
87,CU071_02,Liguria - 02,Q48079876,Savona,253415.0,286670.338889,1431060609.16,country:it/region:lig/cam_uni:cu071-02,country:it/region:lig
88,CU071_03,Liguria - 03,Q48079882,Genova - Unità Urbanistica Sestri,252871.0,153013.438672,257351039.812,country:it/region:lig/cam_uni:cu071-03,country:it/region:lig
